,RMSE,Standard Deviation,MAE
30 min,7.0717852588901815,1.8379850806975158,5.417021722411145
60 min,3.0060834014614377,1.887851884389606,2.7611385661400165
90 min,2.776053862273303,1.927346987965414,2.5506031058193033
