,RMSE,Standard Deviation,MAE
30 min,30.489911657434508,2.563244459502744,28.871435703146005
60 min,3.6023928870827406,2.5485450662401212,3.0183077398643774
90 min,4.37343818076892,2.4970287636357784,3.825192899290399
