,RMSE,Standard Deviation,MAE
30 min,14.082329731906013,5.671210323682655,12.836053882815461
60 min,16.975637729916244,5.674952426249682,15.066305827262164
90 min,15.467248682873498,5.612143894531065,13.721987588506822
