,RMSE,Standard Deviation,MAE
30 min,27.21920451732365,7.33339830556722,22.286381488977955
60 min,7.316210526921353,7.455399204681927,6.162201426755939
90 min,7.508448665947005,7.510009909546758,6.256245143534777
