,RMSE,Standard Deviation,MAE
30 min,64.14543331161903,3.018736467159071,60.92505772663553
60 min,3.944745772824358,2.9938485726808937,3.2697603683520686
90 min,8.929291783556934,2.9815893777644367,8.238964467266914
