,RMSE,Standard Deviation,MAE
30 min,23.49959523725852,1.9686250853064304,22.024067146634557
60 min,2.3243818405269954,1.976826699298167,1.76654665440703
90 min,2.1160539077487095,1.8846581535415248,1.576914397365338
