,RMSE,Standard Deviation,MAE
30 min,20.004372247048167,2.444157005081756,15.837246062279295
60 min,6.600371716057256,2.2722175572745615,5.530892130742117
90 min,4.462371346400218,2.0764495029058554,3.959542669242007
