test_accuracy,test_balanced_accuracy,test_precision,test_recall,test_roc_auc,test_f1
0.5391459074733096,0.5391459074733096,0.5233050847457628,0.8790035587188612,0.533117615025139,0.6560424966799469
0.5533807829181495,0.5533807829181494,0.5324675324675324,0.8754448398576512,0.5638163143830499,0.6621803499327051
0.5044563279857398,0.5051156583629893,0.5020491803278688,0.875,0.5089921199796645,0.6380208333333334
0.5632798573975044,0.5638345195729537,0.5384615384615384,0.875,0.5742501270971021,0.6666666666666667
0.5418894830659536,0.5425266903914591,0.5239085239085239,0.9,0.5408680732079308,0.6622864651773981
0.5294117647058824,0.5300203355363498,0.5169491525423728,0.8714285714285714,0.5315836298932385,0.648936170212766
0.5347593582887701,0.5341001525165227,0.5204918032786885,0.9039145907473309,0.5265442297915608,0.6605981794538361
0.5347593582887701,0.5341255719369599,0.5208333333333334,0.8896797153024911,0.5337824097610575,0.657030223390276
0.5614973262032086,0.5609239959328928,0.5379609544468547,0.8825622775800712,0.5588078291814946,0.6684636118598383
0.5436720142602496,0.5430350788002034,0.525987525987526,0.900355871886121,0.5385803253685816,0.6640419947506561
