test_accuracy,test_balanced_accuracy,test_precision,test_recall,test_roc_auc,test_f1
0.5108153078202995,0.5106035437430786,0.5133928571428571,0.38333333333333336,0.4597286821705426,0.4389312977099236
0.5274542429284526,0.527170542635659,0.5404040404040404,0.3566666666666667,0.47291251384274646,0.42971887550200805
0.5041597337770383,0.5038759689922481,0.5050505050505051,0.3333333333333333,0.4385105204872647,0.40160642570281124
0.5324459234608985,0.5327076411960132,0.5485436893203883,0.3754152823920266,0.5245681063122924,0.4457593688362919
0.5757071547420965,0.5759413067552602,0.6064814814814815,0.43521594684385384,0.5456810631229236,0.5067698259187621
0.5207986688851913,0.5210520487264674,0.5311004784688995,0.3687707641196013,0.49566998892580283,0.43529411764705883
0.5266666666666666,0.5266666666666666,0.5412371134020618,0.35,0.48176111111111114,0.42510121457489874
0.5016666666666667,0.5016666666666667,0.5023923444976076,0.35,0.46855555555555556,0.41257367387033395
0.5016666666666667,0.5016666666666667,0.5027322404371585,0.30666666666666664,0.4538222222222222,0.38095238095238093
0.5333333333333333,0.5333333333333333,0.5416666666666666,0.43333333333333335,0.5097722222222222,0.4814814814814815
