test_accuracy,test_balanced_accuracy,test_precision,test_recall,test_roc_auc,test_f1
0.5174708818635607,0.5171207087486157,0.5287356321839081,0.30666666666666664,0.5340199335548172,0.3881856540084388
0.5091514143094842,0.5088427464008859,0.5132275132275133,0.3233333333333333,0.5009523809523809,0.3967280163599182
0.5291181364392679,0.5287707641196013,0.5485714285714286,0.32,0.5465337763012181,0.4042105263157895
0.5041597337770383,0.5044573643410852,0.5077720207253886,0.32558139534883723,0.47251384274640085,0.39676113360323884
0.5640599001663894,0.5642691029900332,0.5866666666666667,0.43853820598006643,0.567563676633444,0.5019011406844106
0.4841930116472546,0.48450166112956816,0.47619047619047616,0.29900332225913623,0.4819158361018826,0.36734693877551017
0.495,0.495,0.4911242603550296,0.27666666666666667,0.4906111111111111,0.35394456289978676
0.515,0.515,0.5283018867924528,0.28,0.5107333333333333,0.3660130718954248
0.5466666666666666,0.5466666666666666,0.5666666666666667,0.39666666666666667,0.5421,0.4666666666666666
0.5183333333333333,0.5183333333333333,0.5314285714285715,0.31,0.5438111111111111,0.3915789473684211
