test_accuracy,test_balanced_accuracy,test_precision,test_recall,test_roc_auc,test_f1
0.6113013698630136,0.6113013698630136,0.6031746031746031,0.6506849315068494,0.6618971664477388,0.6260296540362439
0.5616438356164384,0.5616438356164384,0.5596026490066225,0.5787671232876712,0.5769257834490523,0.5690235690235689
0.5797598627787307,0.5797733370992797,0.5777027027027027,0.5876288659793815,0.6180977263098433,0.5826235093696763
0.5849056603773585,0.5848455961963941,0.5904059040590406,0.5498281786941581,0.6482488349103235,0.5693950177935942
0.6089193825042881,0.6088711575577838,0.6145454545454545,0.5807560137457045,0.6440592195076025,0.5971731448763251
0.5831903945111492,0.5831509203031586,0.5863309352517986,0.5601374570446735,0.6433766417172716,0.5729349736379613
0.6037735849056604,0.6037988984606695,0.607773851590106,0.589041095890411,0.6266887916019395,0.5982608695652174
0.5986277873070326,0.59860306924634,0.5966666666666667,0.613013698630137,0.6234288942239797,0.6047297297297298
0.5763293310463122,0.576372216730217,0.5812274368231047,0.5513698630136986,0.6004448524219743,0.5659050966608085
0.5934819897084048,0.5935072729840418,0.5971731448763251,0.5787671232876712,0.6267005601845315,0.5878260869565217
