test_accuracy,test_balanced_accuracy,test_precision,test_recall,test_roc_auc,test_f1
0.55,0.55,0.5345622119815668,0.7733333333333333,0.6262833333333334,0.6321525885558583
0.6,0.6000000000000001,0.5714285714285714,0.8,0.6617555555555557,0.6666666666666666
0.5583333333333333,0.5583333333333333,0.5389755011135857,0.8066666666666666,0.6413500000000001,0.6461949265687583
0.605,0.605,0.5714285714285714,0.84,0.7217555555555556,0.680161943319838
0.5483333333333333,0.5483333333333333,0.5328798185941043,0.7833333333333333,0.6192444444444445,0.6342780026990552
0.54,0.54,0.5285714285714286,0.74,0.6317999999999999,0.6166666666666666
0.5742904841402338,0.5739464882943144,0.5531914893617021,0.78,0.6477090301003344,0.6473029045643155
0.5926544240400667,0.5923634336677815,0.5693069306930693,0.7666666666666667,0.6786454849498328,0.6534090909090908
0.5759599332220368,0.5763823857302118,0.549889135254989,0.8294314381270903,0.6927759197324415,0.6613333333333333
0.5809682804674458,0.5813210702341137,0.5563380281690141,0.7926421404682275,0.6699386845039019,0.6537931034482759
