test_accuracy,test_balanced_accuracy,test_precision,test_recall,test_roc_auc,test_f1
0.6988352745424293,0.6988261351052049,0.7003367003367004,0.6933333333333334,0.7640974529346622,0.696817420435511
0.7104825291181365,0.710420819490587,0.7266187050359713,0.6733333333333333,0.8040420819490587,0.698961937716263
0.7154742096505824,0.7154429678848284,0.7231833910034602,0.6966666666666667,0.7996788482834993,0.7096774193548387
0.718801996672213,0.7188482834994463,0.7323943661971831,0.6910299003322259,0.7889036544850498,0.7111111111111111
0.7171381031613977,0.7171207087486158,0.7133550488599348,0.7275747508305648,0.8015393133997786,0.7203947368421052
0.6938435940099834,0.6939147286821705,0.7127272727272728,0.6511627906976745,0.7728460686600221,0.6805555555555556
0.7166666666666667,0.7166666666666666,0.7241379310344828,0.7,0.7842888888888888,0.711864406779661
0.705,0.7050000000000001,0.7430830039525692,0.6266666666666667,0.8003722222222223,0.6799276672694395
0.69,0.69,0.7111111111111111,0.64,0.7872,0.6736842105263158
0.74,0.74,0.7337662337662337,0.7533333333333333,0.8001888888888888,0.7434210526315789
