test_accuracy,test_balanced_accuracy,test_precision,test_recall,test_roc_auc,test_f1
0.778702163061564,0.7786987818383166,0.7792642140468228,0.7766666666666666,0.8728792912513841,0.7779632721202004
0.78369384359401,0.7837209302325582,0.7741935483870968,0.8,0.8628682170542638,0.7868852459016393
0.7936772046589018,0.7936101882613511,0.7723076923076924,0.8338870431893688,0.8783831672203766,0.8019169329073483
0.778702163061564,0.7786046511627907,0.75,0.8372093023255814,0.866234772978959,0.7912087912087912
0.7666666666666667,0.7666666666666666,0.7531645569620253,0.7933333333333333,0.8465999999999999,0.7727272727272726
0.7766666666666666,0.7766666666666666,0.7643312101910829,0.8,0.8638333333333335,0.7817589576547231
0.7733333333333333,0.7733333333333333,0.7679738562091504,0.7833333333333333,0.8503222222222222,0.7755775577557756
0.8,0.8,0.7727272727272727,0.85,0.8746666666666667,0.8095238095238095
0.76,0.76,0.7532467532467533,0.7733333333333333,0.8654111111111111,0.763157894736842
0.7866666666666666,0.7866666666666666,0.7457142857142857,0.87,0.8684444444444444,0.8030769230769231
