test_accuracy,test_balanced_accuracy,test_precision,test_recall,test_roc_auc,test_f1
0.7237936772046589,0.7235437430786268,0.819047619047619,0.5733333333333334,0.7944795127353267,0.6745098039215686
0.7637271214642263,0.7638704318936878,0.8192771084337349,0.6777408637873754,0.8335658914728681,0.7418181818181818
0.7233333333333334,0.7233333333333334,0.7964601769911505,0.6,0.8120777777777778,0.6844106463878327
0.705,0.705,0.7733333333333333,0.58,0.7865500000000001,0.6628571428571428
0.745,0.745,0.779467680608365,0.6833333333333333,0.8306388888888889,0.7282415630550623
0.735,0.735,0.8133333333333334,0.61,0.8113833333333333,0.6971428571428571
0.7316666666666667,0.7316666666666667,0.7982832618025751,0.62,0.8264222222222222,0.6979362101313321
0.795,0.7949999999999999,0.849802371541502,0.7166666666666667,0.8679611111111111,0.7775768535262205
0.7533333333333333,0.7533333333333334,0.8166666666666667,0.6533333333333333,0.8416777777777777,0.725925925925926
0.7333333333333333,0.7333333333333334,0.8043478260869565,0.6166666666666667,0.8113500000000001,0.6981132075471699
