test_accuracy,test_balanced_accuracy,test_precision,test_recall,test_roc_auc,test_f1
0.7071547420965059,0.7070598006644518,0.7330827067669173,0.65,0.7544905869324474,0.6890459363957597
0.6389351081530782,0.6391583610188261,0.6089238845144357,0.7733333333333333,0.7439977851605759,0.6813509544787077
0.64891846921797,0.6491971207087486,0.725,0.48172757475083056,0.7489922480620155,0.5788423153692615
0.6772046589018302,0.6774750830564784,0.7635467980295566,0.5149501661129569,0.7717275747508305,0.6150793650793651
0.675,0.675,0.774869109947644,0.49333333333333335,0.7748277777777777,0.6028513238289206
0.6766666666666666,0.6766666666666666,0.8011363636363636,0.47,0.7754444444444444,0.592436974789916
0.6833333333333333,0.6833333333333333,0.7989130434782609,0.49,0.7994444444444444,0.6074380165289256
0.63,0.6299999999999999,0.6077348066298343,0.7333333333333333,0.7197,0.6646525679758307
0.66,0.6599999999999999,0.6276595744680851,0.7866666666666666,0.7617777777777779,0.6982248520710058
0.6683333333333333,0.6683333333333333,0.6318537859007833,0.8066666666666666,0.7629888888888889,0.7086383601756955
