test_accuracy,test_balanced_accuracy,test_precision,test_recall,test_roc_auc,test_f1
0.5391014975041597,0.5383333333333333,1.0,0.07666666666666666,0.5966666666666667,0.14241486068111453
0.5374376039933444,0.5366666666666666,1.0,0.07333333333333333,0.5933333333333334,0.13664596273291926
0.5291181364392679,0.5283333333333333,1.0,0.056666666666666664,0.585,0.10725552050473186
0.5341098169717138,0.5348837209302325,1.0,0.06976744186046512,0.6112956810631229,0.13043478260869565
0.5324459234608985,0.5332225913621262,1.0,0.0664451827242525,0.5813953488372093,0.12461059190031154
0.5341098169717138,0.5348837209302325,1.0,0.06976744186046512,0.5930232558139534,0.13043478260869565
0.5316666666666666,0.5316666666666666,1.0,0.06333333333333334,0.5966666666666667,0.11912225705329156
0.5333333333333333,0.5333333333333333,1.0,0.06666666666666667,0.5733333333333334,0.125
0.53,0.53,1.0,0.06,0.5966666666666667,0.11320754716981131
0.5133333333333333,0.5133333333333333,1.0,0.02666666666666667,0.5883333333333334,0.05194805194805195
