test_accuracy,test_balanced_accuracy,test_precision,test_recall,test_roc_auc,test_f1
0.5307820299500832,0.53,1.0,0.06,0.58,0.11320754716981131
0.5324459234608985,0.5316666666666666,1.0,0.06333333333333334,0.5733333333333334,0.11912225705329156
0.5257903494176372,0.526578073089701,1.0,0.053156146179401995,0.579734219269103,0.10094637223974764
0.5241264559068219,0.5249169435215947,1.0,0.04983388704318937,0.5780730897009967,0.0949367088607595
0.52,0.52,1.0,0.04,0.565,0.07692307692307693
0.5133333333333333,0.5133333333333333,1.0,0.02666666666666667,0.5633333333333334,0.05194805194805195
0.5283333333333333,0.5283333333333333,1.0,0.056666666666666664,0.5766666666666667,0.10725552050473186
0.525,0.525,1.0,0.05,0.5700000000000001,0.09523809523809523
0.525,0.525,1.0,0.05,0.5733333333333334,0.09523809523809523
0.5283333333333333,0.5283333333333333,1.0,0.056666666666666664,0.5766666666666667,0.10725552050473186
