test_accuracy,test_balanced_accuracy,test_precision,test_recall,test_roc_auc,test_f1
0.5224625623960066,0.5216666666666667,1.0,0.043333333333333335,0.575,0.08306709265175719
0.5324459234608985,0.5316666666666666,1.0,0.06333333333333334,0.5833333333333334,0.11912225705329156
0.5357737104825291,0.5365448504983389,1.0,0.07308970099667775,0.5996677740863787,0.13622291021671828
0.5357737104825291,0.5365448504983389,1.0,0.07308970099667775,0.5880398671096345,0.13622291021671828
0.5383333333333333,0.5383333333333333,1.0,0.07666666666666666,0.59,0.14241486068111453
0.535,0.535,1.0,0.07,0.5816666666666667,0.13084112149532712
0.53,0.53,1.0,0.06,0.5700000000000001,0.11320754716981131
0.525,0.525,1.0,0.05,0.5866666666666667,0.09523809523809523
0.5416666666666666,0.5416666666666666,1.0,0.08333333333333333,0.6066666666666667,0.15384615384615385
0.5383333333333333,0.5383333333333333,1.0,0.07666666666666666,0.6016666666666667,0.14241486068111453
