test_accuracy,test_balanced_accuracy,test_precision,test_recall,test_roc_auc,test_f1
0.7803660565723793,0.7803654485049834,0.78,0.78,0.8534883720930232,0.78
0.7670549084858569,0.76703211517165,0.773972602739726,0.7533333333333333,0.844861572535991,0.7635135135135136
0.762063227953411,0.7620653377630122,0.760797342192691,0.7633333333333333,0.8553045404208195,0.762063227953411
0.762063227953411,0.7620431893687707,0.7564935064935064,0.7740863787375415,0.8318493909191582,0.7651888341543513
0.762063227953411,0.76203211517165,0.7532051282051282,0.7807308970099668,0.8418272425249169,0.766721044045677
0.7770382695507487,0.7769878183831672,0.7617554858934169,0.8073089700996677,0.8558471760797343,0.7838709677419354
0.79,0.79,0.7824675324675324,0.8033333333333333,0.8650888888888889,0.7927631578947368
0.815,0.815,0.8019169329073482,0.8366666666666667,0.8753555555555556,0.8189233278955953
0.7633333333333333,0.7633333333333333,0.7581699346405228,0.7733333333333333,0.8515999999999999,0.7656765676567656
0.77,0.77,0.7773972602739726,0.7566666666666667,0.8577222222222222,0.766891891891892
