test_accuracy,test_balanced_accuracy,test_precision,test_recall,test_roc_auc,test_f1
0.7004991680532446,0.7003156146179401,0.6648501362397821,0.8106312292358804,0.7794462901439646,0.7305389221556886
0.7287853577371048,0.7286323366555925,0.6938202247191011,0.8205980066445183,0.8114507198228127,0.7519025875190259
0.7204658901830283,0.7203211517165005,0.6883852691218131,0.8073089700996677,0.7974086378737542,0.743119266055046
0.7504159733777038,0.7505537098560355,0.7142857142857143,0.8333333333333334,0.825359911406423,0.7692307692307692
0.697171381031614,0.6973145071982281,0.6676136363636364,0.7833333333333333,0.7812513842746401,0.7208588957055214
0.7038269550748752,0.7040143964562569,0.6657608695652174,0.8166666666666667,0.7880952380952381,0.7335329341317364
0.7183333333333334,0.7183333333333333,0.6824512534818942,0.8166666666666667,0.8013555555555556,0.7435508345978756
0.715,0.7150000000000001,0.6869565217391305,0.79,0.8009000000000002,0.7348837209302327
0.695,0.6950000000000001,0.6657223796033994,0.7833333333333333,0.7892111111111112,0.7197549770290965
0.6816666666666666,0.6816666666666666,0.6552706552706553,0.7666666666666667,0.758388888888889,0.7066052227342551
