test_accuracy,test_balanced_accuracy,test_precision,test_recall,test_roc_auc,test_f1
0.5783333333333334,0.5783333333333334,1.0,0.15666666666666668,0.7466666666666667,0.27089337175792505
0.5916666666666667,0.5916666666666667,1.0,0.18333333333333332,0.7716666666666667,0.30985915492957744
0.5883333333333334,0.5883333333333334,1.0,0.17666666666666667,0.7766666666666666,0.30028328611898014
0.585,0.585,1.0,0.17,0.7607833333333334,0.2905982905982906
0.5883333333333334,0.5883333333333334,1.0,0.17666666666666667,0.7516666666666667,0.30028328611898014
0.5783333333333334,0.5783333333333334,1.0,0.15666666666666668,0.7416666666666667,0.27089337175792505
0.585,0.585,1.0,0.17,0.7466666666666667,0.2905982905982906
0.5733333333333334,0.5733333333333334,1.0,0.14666666666666667,0.7516666666666667,0.2558139534883721
0.5933333333333334,0.5933333333333334,1.0,0.18666666666666668,0.7583333333333333,0.3146067415730337
0.61,0.61,1.0,0.22,0.7699111111111111,0.36065573770491804
