test_accuracy,test_balanced_accuracy,test_precision,test_recall,test_roc_auc,test_f1
0.7986688851913477,0.7986932447397563,0.7896440129449838,0.8133333333333334,0.8837873754152823,0.8013136288998357
0.8036605657237936,0.8036267995570321,0.8159722222222222,0.7833333333333333,0.8784496124031008,0.7993197278911565
0.8119800332778702,0.8119878183831672,0.8085808580858086,0.8166666666666667,0.8856589147286822,0.812603648424544
0.826955074875208,0.8269435215946843,0.8229508196721311,0.8338870431893688,0.9085271317829458,0.8283828382838284
0.8419301164725458,0.8418881506090808,0.8259493670886076,0.867109634551495,0.9271096345514951,0.8460291734197731
0.762063227953411,0.76203211517165,0.7532051282051282,0.7807308970099668,0.8508637873754153,0.766721044045677
0.8433333333333334,0.8433333333333333,0.8456375838926175,0.84,0.9124888888888889,0.842809364548495
0.8016666666666666,0.8016666666666667,0.8067796610169492,0.7933333333333333,0.8841,0.8
0.81,0.81,0.8079470198675497,0.8133333333333334,0.8899777777777778,0.8106312292358804
0.825,0.825,0.819672131147541,0.8333333333333334,0.8981333333333335,0.8264462809917356
