test_accuracy,test_balanced_accuracy,test_precision,test_recall,test_roc_auc,test_f1
0.8768718801996672,0.876954595791805,0.9188191881918819,0.8272425249169435,0.9555980066445182,0.8706293706293706
0.8951747088186356,0.8952380952380952,0.9280575539568345,0.8571428571428571,0.954640088593577,0.8911917098445595
0.9168053244592346,0.916749723145072,0.9464285714285714,0.8833333333333333,0.9721760797342193,0.9137931034482758
0.9168053244592346,0.9167552602436324,0.9432624113475178,0.8866666666666667,0.968344407530454,0.9140893470790379
0.8933333333333333,0.8933333333333333,0.927536231884058,0.8533333333333334,0.9531555555555555,0.888888888888889
0.9266666666666666,0.9266666666666666,0.9539007092198581,0.8966666666666666,0.9663888888888889,0.9243986254295531
0.9066666666666666,0.9066666666666666,0.9357142857142857,0.8733333333333333,0.9549222222222222,0.9034482758620689
0.8983333333333333,0.8983333333333333,0.9613899613899614,0.83,0.9591055555555555,0.8908765652951699
0.9216666666666666,0.9216666666666666,0.9377162629757786,0.9033333333333333,0.9666555555555556,0.9202037351443124
0.9066666666666666,0.9066666666666667,0.9295774647887324,0.88,0.964288888888889,0.9041095890410958
